id;V25_R;V10;V40;V55;V11;V26_R;V41;V56_R;V12_R;V27;V42_R;V57;V4;V19;V49;V34;V5;V50;V20;V35;V6;V36;V21;V51;V13_R;V28_R;V43_R;V58_R;V14_R;V29_R;V44_R;V59_R;V30_R;V45_R;V60_R;V15_R;V8;V23;V38_R;V53;V9_R;V24;V39_R;V54_R;V7;V22;V37_R;V52_R;V2;V17;V32_R;V47;V3;V18_R;V33;V48;V1;V46_R;V31_R;V16
25;4;3;3;3;3;3;3;3;4;4;3;3;3;3;3;4;3;3;3;3;3;1;4;3;3;4;3;4;4;3;4;4;4;2;3;3;3;3;3;3;3;3;3;4;3;3;2;3;2;2;3;3;3;3;3;3;3;2;3;3
26;3;3;3;4;4;2;3;3;2;3;2;3;3;3;3;4;4;4;3;3;4;3;4;4;3;3;3;2;3;3;4;3;3;2;2;2;3;3;2;3;2;3;1;2;3;4;2;2;2;3;3;2;3;3;3;3;4;2;3;3
27;4;4;3;4;4;3;4;4;3;4;3;3;4;4;4;4;4;3;4;4;4;4;4;3;4;3;3;3;3;3;4;4;3;3;4;4;4;2;2;3;3;4;4;3;4;4;3;4;4;3;3;3;4;4;3;4;4;4;3;4
28;3;4;2;4;4;3;3;3;3;4;3;2;2;4;2;4;4;4;4;4;3;4;4;4;4;3;3;3;4;3;4;4;3;4;3;3;4;4;3;3;3;3;3;3;4;4;3;3;2;2;2;2;3;3;2;3;2;1;1;3
29;4;4;2;4;4;3;4;3;4;4;4;3;4;3;4;4;4;4;3;4;3;3;4;3;3;3;2;4;3;3;4;4;3;3;4;4;3;4;4;4;3;3;3;4;4;4;2;2;3;3;4;4;3;3;3;3;3;2;3;3
30;4;4;3;4;4;3;3;3;4;4;3;1;4;2;4;2;4;4;4;1;3;1;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;3;4;2;4;3;4;4;4;3;3;4;3;3;3;4;3;4;3;4;4;2;4
31;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;2;3;2;2;3;3;2;2;3;3;2;2;3;2;2;3;2;2;2;2;2;3;2;3;2;2;3;2
32;4;3;2;4;4;3;3;3;3;4;3;3;3;3;3;4;3;4;4;3;4;3;4;3;3;3;3;4;3;4;4;4;4;3;3;4;4;4;3;3;3;3;3;3;4;4;3;3;3;4;3;3;3;3;3;3;3;1;3;3
33;3;3;2;3;3;3;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;4;3;3;3;3;3;3;2;3;3;2;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;2;3;3
34;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;2;3;3;3;4;3;4;3;3;3;3;3;3;3;2;3;2;2;3;3;3;3;4;3;4;3;3;3;3;3;2;3;3;3
35;4;4;4;4;4;3;4;2;3;4;4;3;2;4;4;4;4;4;4;4;3;3;4;4;4;4;2;4;4;4;4;4;4;3;3;4;4;4;4;4;2;4;3;4;4;4;3;4;4;3;4;3;4;3;4;4;3;3;3;4
36;3;4;3;4;4;2;3;4;3;4;3;2;3;3;4;3;4;4;3;3;3;1;4;4;3;2;3;3;3;3;4;4;2;2;3;3;3;3;3;3;3;3;3;3;4;4;2;3;4;2;4;3;4;3;4;3;3;3;3;3
37;4;4;3;4;4;3;3;4;4;4;3;3;3;4;4;4;4;4;3;3;3;3;4;4;3;3;4;4;4;2;4;3;4;3;3;3;3;4;4;3;2;4;4;4;4;4;4;4;3;3;4;4;4;2;4;4;3;1;3;4
38;4;4;3;3;4;3;3;3;3;3;4;4;3;3;4;4;3;4;3;4;3;3;4;4;2;2;3;2;3;3;4;4;4;2;3;2;3;4;3;4;2;4;2;3;3;4;2;2;3;2;3;4;3;3;3;3;4;2;3;3
39;4;3;2;3;4;4;4;4;4;4;4;2;4;4;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;3;4;4;4;4;3;4;4;4;3;3;4;4;3;4;3;4;4;4;4;4
40;3;3;2;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;2;4;3;3;3;3;2;3;2;3;3;2;3;2;2;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3
41;3;4;3;4;4;4;3;3;4;4;4;4;4;3;4;4;3;4;4;4;4;2;4;4;3;3;3;4;4;4;4;4;4;3;3;3;3;3;4;4;3;4;2;3;3;4;4;4;3;3;4;4;3;3;3;3;3;3;3;4
42;4;3;2;3;4;3;3;3;4;3;3;2;4;3;3;4;4;3;3;3;4;3;3;3;4;4;3;4;4;3;4;4;4;4;3;3;3;2;3;3;3;4;4;4;4;4;4;4;3;3;1;3;3;2;3;3;4;3;3;3
43;4;3;4;3;3;3;2;3;3;4;2;2;3;3;3;2;4;4;3;3;4;4;3;3;3;3;3;2;3;3;3;4;2;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;4;4;3;4;4;3;3;3;3;3;3;4
44;2;3;4;4;4;3;4;4;3;4;4;4;4;3;2;4;1;4;1;1;2;3;3;4;2;1;1;1;1;1;1;1;3;1;4;2;2;4;3;4;3;1;1;1;3;3;3;1;3;1;3;2;4;4;3;2;1;1;1;2
45;3;3;2;3;4;2;3;3;3;4;3;3;3;4;2;4;4;4;2;3;4;3;4;3;3;3;3;3;3;3;4;4;4;4;3;4;4;3;2;3;2;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;4;2;2;3
46;4;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;4;3;4;4;4;4;4;4;4;2
47;2;2;1;3;3;2;2;4;2;4;2;1;2;2;3;3;3;4;1;4;2;1;4;4;4;4;4;4;4;2;4;4;2;2;2;4;3;4;3;4;2;2;2;2;3;3;4;4;4;1;2;3;3;2;3;4;2;1;2;1
48;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;2;3;3;3;3;2;2;2;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;4;2;3;3
49;3;3;2;3;4;2;4;3;1;4;3;3;3;4;4;4;4;4;4;3;3;4;4;4;3;3;1;3;3;3;4;2;3;3;3;2;3;4;3;3;1;3;2;1;4;4;2;4;4;3;2;4;4;2;3;4;4;2;2;4
50;4;3;3;3;4;2;3;2;1;4;3;3;3;4;1;3;3;3;3;4;3;4;4;3;4;4;3;2;4;1;2;4;4;2;2;2;3;4;1;3;1;3;2;2;3;2;2;4;3;1;1;3;1;2;4;3;3;2;2;3
51;2;3;2;2;4;2;3;2;3;3;2;2;3;2;3;3;3;3;2;3;3;3;3;4;2;2;2;2;3;3;3;3;2;3;2;2;3;4;2;3;2;4;4;2;4;4;4;4;4;4;3;2;4;2;4;4;3;2;2;3
52;3;4;4;4;4;3;4;2;2;4;3;3;4;4;4;4;4;3;3;3;4;3;4;4;2;2;2;2;2;2;3;3;3;2;2;2;3;3;2;3;2;4;2;2;4;3;2;2;2;2;2;3;2;2;3;3;4;2;2;4
53;2;3;2;1;4;3;2;4;4;4;3;2;3;3;4;4;4;4;4;3;4;4;4;4;2;2;2;1;2;2;4;3;4;1;3;3;3;3;1;3;2;4;3;1;4;4;2;4;2;4;3;4;3;4;3;3;4;3;2;4
54;4;4;2;4;4;3;1;4;3;4;3;4;3;4;4;4;3;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;2;4;4;2;4;4;4;4;4;4;4;4;2;4;4;3;3;4;4;4;4;2;4
55;4;3;2;3;4;3;3;3;2;3;3;3;3;3;4;3;4;4;3;3;4;3;3;3;4;3;3;2;3;3;4;3;4;3;3;3;3;3;3;2;2;4;2;2;3;2;2;2;4;2;3;3;4;2;3;3;4;3;3;4
56;4;3;2;4;3;2;3;4;3;3;2;2;3;3;3;3;3;3;3;2;3;2;3;3;3;3;3;3;3;3;4;4;4;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;2;3;3;2;3;3;2;3;3
57;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;2;2;2;3;2;3;3;3;3;3;3;2;3;3;3;2;2;3
58;4;3;2;3;3;3;2;3;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;4;3;4;3;4;3;3;4;3;3;2;3;3;3;3;3;3;3;3;2;4;3;3;2;3;3;3;1;4;3
